SITE_ID,BASIN,PLOT,SUBPLOT,SPP,SPP_NAME,COVER,HT (CM),REMARKS
N2-19V,N2,19,WEST,ACCI,Acer circinatum ,T,30,
C1-7VB,C1,7,EAST,AGROS2,Agrostis spp.,T,15,
C1-3V,C1,3,NORTH,ATFI,Athyrium filix-femina,4,30,
C1-3V,C1,3,SOUTH,ATFI,Athyrium filix-femina,1,5,
C1-4V,C1,4,EAST,ATFI,Athyrium filix-femina,T,5,
C1-4V,C1,4,WEST,ATFI,Athyrium filix-femina,1,20,
C1-8VB,C1,8,SOUTH,ATFI,Athyrium filix-femina,T,15,
C1-13VB,C1,13,NORTH,ATFI,Athyrium filix-femina,5,40,
C1-14VB,C1,14,NORTH,ATFI,Athyrium filix-femina,4,50,
C1-25VB,C1,25,NORTH,ATFI,Athyrium filix-femina,2,50,
C2-17VB,C2,17,WEST,ATFI,Athyrium filix-femina,3,60,
C2-25VB,C2,25,SOUTH,ATFI,Athyrium filix-femina,T,5,
C2-26V,C2,26,SOUTH,ATFI,Athyrium filix-femina,1,27,
N1-22V,N1,22,SOUTH,ATFI,Athyrium filix-femina,3,30,
N1-22V,N1,22,WEST,ATFI,Athyrium filix-femina,1,35,
N1-27V,N1,27,EAST,ATFI,Athyrium filix-femina,2,50,
N1-27V,N1,27,NORTH,ATFI,Athyrium filix-femina,2,15,
N2-2VB,N2,2,SOUTH,ATFI,Athyrium filix-femina,10,25,
N2-3V,N2,3,NORTH,ATFI,Athyrium filix-femina,8,40,
N2-12V,N2,12,EAST,ATFI,Athyrium filix-femina,7,30,
N2-13VB,N2,13,EAST,ATFI,Athyrium filix-femina,T,75,
N2-21V,N2,21,EAST,ATFI,Athyrium filix-femina,2,30,
C1-3V,C1,3,EAST,BLSP,Blechnum spicant,5,20,
C1-3V,C1,3,NORTH,BLSP,Blechnum spicant,1,25,
C1-3V,C1,3,SOUTH,BLSP,Blechnum spicant,6,20,
C1-3V,C1,3,WEST,BLSP,Blechnum spicant,12,15,
C1-4V,C1,4,EAST,BLSP,Blechnum spicant,14,30,
C1-4V,C1,4,NORTH,BLSP,Blechnum spicant,3,20,
C1-4V,C1,4,SOUTH,BLSP,Blechnum spicant,1,10,
C1-4V,C1,4,WEST,BLSP,Blechnum spicant,7,20,
C1-5V,C1,5,NORTH,BLSP,Blechnum spicant,5,25,
C1-5V,C1,5,SOUTH,BLSP,Blechnum spicant,1,10,
C1-5V,C1,5,WEST,BLSP,Blechnum spicant,6,18,
C1-7VB,C1,7,EAST,BLSP,Blechnum spicant,6,15,
C1-7VB,C1,7,SOUTH,BLSP,Blechnum spicant,4,15,
C1-8VB,C1,8,EAST,BLSP,Blechnum spicant,13,15,
C1-8VB,C1,8,NORTH,BLSP,Blechnum spicant,22,35,
C1-8VB,C1,8,SOUTH,BLSP,Blechnum spicant,15,30,
C1-8VB,C1,8,WEST,BLSP,Blechnum spicant,15,20,
C1-13VB,C1,13,EAST,BLSP,Blechnum spicant,20,40,
C1-13VB,C1,13,NORTH,BLSP,Blechnum spicant,50,40,
C1-13VB,C1,13,SOUTH,BLSP,Blechnum spicant,16,25,
C1-13VB,C1,13,WEST,BLSP,Blechnum spicant,25,30,
C1-14VB,C1,14,EAST,BLSP,Blechnum spicant,40,20,
C1-14VB,C1,14,NORTH,BLSP,Blechnum spicant,20,20,
C1-14VB,C1,14,SOUTH,BLSP,Blechnum spicant,6,20,
C1-14VB,C1,14,WEST,BLSP,Blechnum spicant,7,30,
C1-17V,C1,17,EAST,BLSP,Blechnum spicant,1,20,
C1-17V,C1,17,WEST,BLSP,Blechnum spicant,T,15,
C1-18V,C1,18,EAST,BLSP,Blechnum spicant,1,7,
C1-18V,C1,18,NORTH,BLSP,Blechnum spicant,T,10,
C1-18V,C1,18,SOUTH,BLSP,Blechnum spicant,2,10,
C1-20VB,C1,20,NORTH,BLSP,Blechnum spicant,10,10,
C1-20VB,C1,20,SOUTH,BLSP,Blechnum spicant,8,40,
C1-20VB,C1,20,WEST,BLSP,Blechnum spicant,1,15,
C1-24VB,C1,24,EAST,BLSP,Blechnum spicant,32,40,
C1-24VB,C1,24,NORTH,BLSP,Blechnum spicant,2,10,
C1-24VB,C1,24,SOUTH,BLSP,Blechnum spicant,40,75,
C1-24VB,C1,24,WEST,BLSP,Blechnum spicant,6,20,
C1-25VB,C1,25,EAST,BLSP,Blechnum spicant,10,10,
C1-25VB,C1,25,NORTH,BLSP,Blechnum spicant,12,40,
C1-25VB,C1,25,SOUTH,BLSP,Blechnum spicant,2,5,
C1-25VB,C1,25,WEST,BLSP,Blechnum spicant,3,10,
C1-26V,C1,26,EAST,BLSP,Blechnum spicant,3,20,
C1-26V,C1,26,NORTH,BLSP,Blechnum spicant,2,20,
