SITE_ID,BASIN,PLOT,SUBPLOT,DEPTH_0.5m ,DEPTH_1.0m ,DEPTH_1.5m,DEPTH_2.0m,DEPTH_2.5m,average,REMARKS
C1-20VB,C1,20,SOUTH,CWD,9,14,CWD,CWD,11.5,UNABLE TO GET ALL DEPTHS DUE TO DECAYING CWD
C1-20VB,C1,20,WEST,,10,,,,10,UNABLE TO GET ALL DEPTHS DUE TO DECAYING CWD
C1-24VB,C1,24,NORTH,6,3,3,2,3,3.4,
C1-24VB,C1,24,WEST,2,7,9,12,ROOTS,7.5,
C1-24VB,C1,24,EAST,16,14,ROOTS,ROOTS,ROOTS,15,
C1-24VB,C1,24,SOUTH,,,,,,na,UNABLE TO GET ACCURATE LITTER DEPTHS
C1-25VB,C1,25,EAST,11,16,7,5,4,8.6,
C1-25VB,C1,25,SOUTH,5,10,15,13,7,10,
C1-25VB,C1,25,NORTH,CWD,8,8,10,10,9,
C1-25VB,C1,25,WEST,11,13,15,10,12,12.2,
C1-26V,C1,26,NORTH,11,9,11,10,12,10.6,
C1-26V,C1,26,EAST,13,8,12,15,20,13.6,
C1-26V,C1,26,WEST,CWD,8,>30,>30,>30,30,GROUND LOOSE AND HOLLOW
C1-26V,C1,26,SOUTH,>30,23,>30,>30,>30,30,GROUND LOOSE AND HOLLOW
C1-28VB,C1,28,WEST,1,1,0.5,0.5,4,1.4,
C1-28VB,C1,28,SOUTH,5,12,10,21,8,11.2,
C1-28VB,C1,28,EAST,ROOTS,15,17,2,10,11,
C1-28VB,C1,28,NORTH,5,8.5,13,14,,10.125,
C2-4V,C2,4,NORTH,7,3.5,5,2,2,3.9,
C2-4V,C2,4,EAST,2,3,2,2,5,2.8,
C2-4V,C2,4,WEST,12,>30,20,18,19,17.25,
C2-4V,C2,4,SOUTH,11,6,7,8,>30,8,
C2-5VB,C2,5,NORTH,8,2,6,6,2,4.8,
C2-5VB,C2,5,WEST,3,5,4,7,9,5.6,
C2-5VB,C2,5,SOUTH,CWD,CWD,3,10,16,9.666666667,
C2-5VB,C2,5,EAST,ROOTS,20,23,28,29,25,
C2-11VB,C2,11,EAST,10,4,4,3,2,4.6,
C2-11VB,C2,11,SOUTH,1,10,7,8,4,6,
C2-11VB,C2,11,NORTH,6,12,5,4,7,6.8,
C2-11VB,C2,11,WEST,>30,15,8,13,>30,12,
C2-12VB,C2,12,SOUTH,7,14,11,12,2,9.2,
C2-12VB,C2,12,NORTH,6,1,1,1,3,2.4,
C2-12VB,C2,12,EAST,ROOTS,ROOTS,8,7,9,8,
C2-12VB,C2,12,WEST,STUMP,STUMP,10,6,24,13.33333333,
C2-13V,C2,13,EAST,3,5,2,1,1,2.4,
C2-13V,C2,13,NORTH,1,5,8,2,3,3.8,
C2-13V,C2,13,WEST,27,13,7,15,4,13.2,
C2-13V,C2,13,SOUTH,>30,>30,>30,>30,>30,30,SUBPLOT ON DECAYING THPL 
C2-15VB,C2,15,WEST,7,9,3,7,2,5.6,
C2-15VB,C2,15,SOUTH,11,2,0,7,6,5.2,
C2-15VB,C2,15,EAST,21,19,14,25,19,19.6,
C2-15VB,C2,15,NORTH,,,,2,,2,
C2-17VB,C2,17,NORTH,4,2,4,8,4,4.4,
C2-17VB,C2,17,SOUTH,>30,>30,23,2,15,13.33333333,
