SITE_ID,BASIN,PLOT,TAG,SPP,AZ,SDIST,HDST,DBH (CM),DBH (INCHES),HT,LCH,LIVING OR DC,HEALTH,CROWN,DAM1,DAM2,DAM3,COND,COND2,LE_ANG,WILDLIFE USE,REMARKS,,,,,
C1-4V,C1,4,1050,TSHE,263,8.9,8.3,26.2,10.3,16.0,,L,Y,3,None,,,None,,,,,,,,,
C1-4V,C1,4,1051,ALRU2,311,19.5,16.7,26.9,10.6,,,L,Y,3,None,,,None,,,,,,,,,
C1-4V,C1,4,1052,TSHE,330,9.9,8.1,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT FOUND,,,,,
C1-4V,C1,4,1053,TSHE,346,18.7,16.7,24.1,9.5,,,L,Y,4,None,,,FK2,LE,40,,,,,,,
C1-4V,C1,4,2052,TSHE,65,,,18.0,7.1,,,L,Y,3,None,,,None,,,,,,,,,
C1-4V,C1,4,2077,TSHE,338,,,16.8,6.6,,,L,Y,3,None,,,None,,,,,,,,,
C1-4V,C1,4,2393,PISI,299,,,25.9,10.2,,,L,Y,3,None,,,None,,,,,,,,,
C1-4V,C1,4,2398,TSHE,268,,,17.5,6.9,,,L,Y,4,None,,,None,,,,NEXT TO WEST SUBPLOT,,,,,
C1-4V,C1,4,2506,TSHE,150,,,21.6,8.5,,,L,Y,3,None,,,FK2,,,,,,,,,
C1-4V,C1,4,2507,TSHE,118,,,20.6,8.1,,,L,Y,3,None,,,None,,,,,,,,,
C1-4V,C1,4,2509,TSHE,222,,,25.7,10.1,,,L,Y,3,720,,,None,,,,,,,,,
C1-4V,C1,4,2510,TSHE,52,,,18.3,7.2,,,L,Y,3,None,,,FK2,,,,,,,,,
C1-4V,C1,4,2513,TSHE,228,,,22.1,8.7,,,L,Y,3,None,,,None,,,,,,,,,
C1-4V,C1,4,2514,TSHE,0,,,15.7,6.2,,,L,Y,3,None,,,None,,,,,,,,,
C1-4V,C1,4,2519,TSHE,46,,,14.5,5.7,,,L,Y,3,None,,,FK2,,,,,,,,,
C1-4V,C1,4,2524,TSHE,210,,,30.7,12.1,,,L,Y,3,700,460,,None,,,,,,,,,
C1-4V,C1,4,2525,TSHE,48,,,16.0,6.3,,,L,Y,3,None,,,None,,,,,,,,,
C1-4V,C1,4,2527,TSHE,252,,,23.1,9.1,,,L,Y,3,None,,,None,,,,,,,,,
C1-4V,C1,4,2529,TSHE,28,,,22.9,9.0,,,L,Y,3,None,,,FK2,,,,GROWING OUT OF OLD LOG,,,,,
C1-4V,C1,4,2701,TSHE,12,,,16.5,6.5,,,L,Y,3,None,,,FK2,,,,,,,,,
C1-4V,C1,4,2702,TSHE,78,,,17.3,6.8,,,L,Y,4,None,,,FK2,,,,ESTIMATED AZ,,,,,
C1-4V,C1,4,2703,ALRU2,80,,,21.6,8.5,,,L,Y,3,None,,,None,,,,ESTIMATED AZ,,,,,
C1-4V,C1,4,2704,TSHE,100,,,21.1,8.3,,,L,Y,3,700,,,None,,,,ESTIMATED AZ,,,,,
C1-4V,C1,4,2705,TSHE,130,,,25.1,9.9,,,L,N,3,740,,,None,,,,,,,,,
C1-4V,C1,4,2707,TSHE,148,,,17.8,7.0,12.8,7.6,L,Y,3,None,,,None,,,,"ESTIMATED AZ, ESTIMATED BORDER OF PLOT",,,,,
C1-4V,C1,4,2708,TSHE,149,,,19.6,7.7,,,L,Y,3,460,,,None,,,,"ESTIMATED AZ, ESTIMATED BORDER OF PLOT",,,,,
C1-4V,C1,4,2708,TSHE,170,,,30.0,11.8,,,L,Y,3,740,,,None,,,,"W/SAPLING, SAPLING INCLUDED IN DBH, ESTIMATED AZ, BORDER TREE?",,,,,
C1-4V,C1,4,2710,TSHE,180,,,21.1,8.3,,,L,Y,3,None,,,FK2,,,,1 METER IN FRONT OF SUBPLOT,,,,,
C1-5V,C1,5,846,TSHE,5,18.1,17.0,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-5V,C1,5,847,TSHE,10,13.2,12.4,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CWD,,,,,
C1-5V,C1,5,848,TSHE,14,15.8,14.8,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CWD,,,,,
C1-5V,C1,5,849,TSHE,20,11.4,10.8,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CWD,,,,,
C1-5V,C1,5,850,TSHE,24,17.6,16.9,53.6,21.1,32.2,20.2,L,Y,3,None,,,None,,,,,,,,,
C1-5V,C1,5,851,TSHE,30,13.4,12.9,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-5V,C1,5,852,TSHE,40,13.2,12.8,51.3,20.2,33.4,22.5,L,Y,3,400,,,None,,,,,,,,,
C1-5V,C1,5,853,TSHE,44,8.5,8.1,55.4,21.8,,,L,Y,3,None,,,None,,,,,,,,,
C1-5V,C1,5,854,TSHE,53,13.2,13.0,40.4,15.9,,,L,Y,3,None,,,None,,,,,,,,,
C1-5V,C1,5,855,PISI,63,5.4,5.3,40.1,15.8,,,L,Y,3,None,,,None,,,,,,,,,
C1-5V,C1,5,856,TSHE,63,8.7,7.8,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,WINDBLOWN STUMP,,,,,
C1-5V,C1,5,857,TSHE,79,15.8,15.7,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-5V,C1,5,858,TSHE,83,17.2,16.9,59.7,23.5,,,L,Y,3,None,,,None,,,,,,,,,
C1-5V,C1,5,859,TSHE,87,9.1,9.1,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CWD,,,,,
C1-5V,C1,5,860,TSHE,94,12.8,12.8,55.1,21.7,,,L,Y,3,460,,,None,,,,,,,,,
C1-5V,C1,5,861,TSHE,101,4.5,4.5,50.8,20.0,,,L,Y,3,460,,,None,,,,"WAS TGT W/ 862, WHICH IS NOW A HARVESTED STUMP",,,,,
C1-5V,C1,5,862,TSHE,104,4.7,4.7,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-5V,C1,5,863,PISI,104,15.8,15.8,51.6,20.3,,,L,Y,3,400,,,FK2,,,,,,,,,
C1-5V,C1,5,864,THPL,112,10.9,10.9,35.6,14.0,,,L,Y,4,460,,,None,,,,,,,,,
C1-5V,C1,5,865,PISI,115,16.6,16.6,71.6,28.2,34.2,21.9,L,Y,3,None,,,FK2,,,,,,,,,
C1-5V,C1,5,866,TSHE,117,10.4,10.3,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-5V,C1,5,868,TSHE,127,11.5,11.4,31.8,12.5,,,L,Y,3,None,,,None,,,,TGT W/ HARVESTED STUMP THAT WAS 869,,,,,
C1-5V,C1,5,869,TSHE,133,11.8,11.7,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-5V,C1,5,870,TSHE,135,14.6,14.5,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-5V,C1,5,871,TSHE,146,5.1,5.0,32.0,12.6,,,L,Y,3,None,,,None,,,,,,,,,
C1-5V,C1,5,872,TSHE,147,14.8,14.5,48.8,19.2,,,L,Y,3,None,,,None,,,,,,,,,
C1-5V,C1,5,873,TSHE,170,1.9,1.9,26.7,10.5,,,L,Y,4,None,,,None,,,,,,,,,
C1-5V,C1,5,874,TSHE,170,14.7,14.2,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-5V,C1,5,875,TSHE,171,6.3,6.2,50.0,19.7,,,L,Y,3,None,,,None,,,,,,,,,
C1-5V,C1,5,876,TSHE,178,16.9,16.2,39.4,15.5,33.1,24.0,L,Y,3,None,,,None,,,,,,,,,
C1-5V,C1,5,877,TSHE,179,9.4,9.1,40.6,16.0,,,L,Y,3,None,,,None,,,,,,,,,
C1-5V,C1,5,878,TSHE,181,12.7,12.3,44.7,17.6,,,L,Y,3,None,,,None,,,,,,,,,
C1-5V,C1,5,879,TSHE,193,14.0,13.9,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-5V,C1,5,880,TSHE,203,16.9,16.9,34.3,13.5,25.4,15.8,L,Y,3,None,,,None,,,,TGT W/ DEAD SNAG,,,,,
C1-5V,C1,5,881,TSHE,209,10.8,10.8,45.5,17.9,,,L,Y,3,None,,,None,,,,,,,,,
C1-5V,C1,5,882,TSHE,209,3.5,3.5,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-5V,C1,5,883,TSHE,210,7.6,7.6,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-5V,C1,5,885,TSHE,219,10.3,10.3,53.8,21.2,,,L,Y,3,None,,,None,,,,,,,,,
C1-5V,C1,5,886,TSHE,225,16.5,16.4,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-5V,C1,5,887,TSHE,231,13.9,13.8,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-5V,C1,5,888,TSHE,242,2.4,2.1,58.7,23.1,,,L,Y,3,None,,,None,,,,,,,,,
C1-5V,C1,5,889,TSHE,244,14.5,13.9,48.5,19.1,,,L,Y,3,None,,,None,,,,,,,,,
C1-5V,C1,5,890,TSHE,247,17.6,16.9,43.4,17.1,,,L,Y,3,None,,,None,,,,,,,,,
C1-5V,C1,5,891,TSHE,249,13.6,13.0,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-5V,C1,5,892,TSHE,256,15.2,14.3,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-5V,C1,5,893,TSHE,260,7.5,7.2,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-5V,C1,5,894,TSHE,265,11.3,10.5,45.5,17.9,,,L,Y,3,None,,,None,,,,,,,,,
C1-5V,C1,5,895,TSHE,274,6.3,5.8,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-5V,C1,5,896,PISI,277,12.6,11.5,57.7,22.7,,,L,Y,3,None,,,None,,,,,,,,,
C1-5V,C1,5,897,TSHE,278,17.4,15.8,48.5,19.1,,,L,Y,3,None,,,None,,,,,,,,,
C1-5V,C1,5,898,TSHE,290,13.0,11.7,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-5V,C1,5,899,TSHE,301,17.0,15.3,43.2,17.0,30.4,17.4,L,Y,3,None,,,None,,,,,,,,,
C1-5V,C1,5,900,TSHE,303,8.3,7.5,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CWD,,,,,
